timestamp,signal,confidence,entry_price,stop_loss,take_profit,outcome,close_price,close_time,ta_summary,sentiment_summary,history_summary,decision_rationale,overrides,indicators,tp_adjustments,tp_adjustment_log
2026-04-10 00:51:39,Do Not Enter,25,,,,pending,,,"RSI deeply oversold at 27.73, MACD negative at -0.0335, and DI- dominates DI+ (53.43 vs 16.54) confirming strong bearish trend",News sentiment barely positive at +0.15 which fails to meet the +0.4 threshold required for oversold RSI bounce setups,No prior signal history to reference for pattern analysis,Oversold RSI without sufficient sentiment confirmation plus bearish DI trend creates falling knife scenario rather than bounce opportunity [OVERRIDDEN: Confidence 25% below 60% threshold],Confidence 25% below 60% threshold,RSI: 27.7273 | MACD: -0.0335 | DI_PLUS: 16.5354 | DI_MINUS: 53.4251,0,
2026-04-10 00:54:50,Do Not Enter,25,,,,pending,,,RSI at 19.0 shows extreme oversold conditions but DI- at 51.7 dominates DI+ at 13.7 confirming strong bearish trend with ADX at 32.5,News sentiment at +0.15 is barely positive and insufficient to override technical bearish signals,No historical pattern available with only one low-confidence pending signal in recent data,Strong bearish directional bias from DI indicators combined with weak sentiment makes this a falling knife scenario despite oversold RSI [OVERRIDDEN: Confidence 25% below 60% threshold],Confidence 25% below 60% threshold,RSI: 19.0036 | MACD: -0.0587 | ADX: 32.5111 | DI_PLUS: 13.7083 | DI_MINUS: 51.7276,0,
2026-04-10 00:57:49,Do Not Enter,25,,,,pending,,,RSI oversold at 35.21 but DI- dominates at 41.78 vs DI+ at 10.20 confirming strong bearish trend with MACD negative at -0.0615,Weak positive sentiment at +0.15 insufficient to overcome oversold conditions in strong downtrend,No trade history available for pattern confirmation with only previous low-confidence rejections,Bearish directional indicators override oversold RSI - this is a falling knife scenario not a bounce setup [OVERRIDDEN: Confidence 25% below 60% threshold],Confidence 25% below 60% threshold,RSI: 35.2088 | MACD: -0.0615 | ADX: 38.1376 | DI_PLUS: 10.2049 | DI_MINUS: 41.776 | OBV: 5455.0669,0,
2026-04-10 01:00:49,Do Not Enter,25,,,,pending,,,RSI at 35.6 shows oversold but DI- dominates at 43.79 vs DI+ 8.49 confirming strong bearish trend with high ADX 43.67,Weak positive sentiment at +0.15 fails to provide sufficient bullish confirmation for oversold bounce,Three consecutive avoided trades show disciplined risk management in uncertain conditions,Cannot enter Buy when DI- overwhelmingly dominates DI+ and sentiment is too weak to confirm oversold reversal [OVERRIDDEN: Confidence 25% below 60% threshold],Confidence 25% below 60% threshold,RSI: 35.6083 | MACD: -0.0616 | ATR: 0.0362 | ADX: 43.6666 | DI_PLUS: 8.4946 | DI_MINUS: 43.7926,0,
2026-04-10 01:03:49,Do Not Enter,25,,,,pending,,,RSI oversold at 38.5 but strong bearish trend with DI- (43.3) dominating DI+ (9.7) despite high ADX (48.0) confirming trend strength,Weak positive sentiment (+0.15) insufficient to support oversold bounce in strong downtrend,Recent pattern shows proper risk management through avoidance during unclear market conditions,Cannot enter Buy when DI- significantly exceeds DI+ regardless of oversold RSI - this violates core directional bias rule for trend following [OVERRIDDEN: Confidence 25% below 60% threshold],Confidence 25% below 60% threshold,RSI: 38.4853 | MACD: -0.0534 | ADX: 47.9957 | DI_PLUS: 9.7172 | DI_MINUS: 43.301,0,
2026-04-10 01:06:49,Do Not Enter,25,,,,pending,,,RSI oversold at 32.6 but DI- dominates DI+ (46.1 vs 10.1) confirming strong bearish trend despite high ADX trend strength,Weak positive sentiment at +0.15 insufficient to override oversold RSI requiring +0.4 minimum for buy consideration,Previous signals correctly avoided poor setups with 25% confidence preventing losses,Bearish directional indicators and insufficient sentiment make this oversold bounce a falling knife setup to avoid [OVERRIDDEN: Confidence 25% below 60% threshold],Confidence 25% below 60% threshold,RSI: 32.5998 | MACD: -0.0603 | ADX: 52.4113 | DI_PLUS: 10.1313 | DI_MINUS: 46.0664,0,
2026-04-10 01:09:50,Buy,70,83.04,82.2,84.3,pending,,,"Strong trend strength with ADX at 46.74 and DI+ (35.19) above DI- (32.22) confirming bullish momentum, RSI at 55.67 shows room for upward movement without being overbought.",Neutral-to-slightly positive sentiment at +0.15 provides adequate backdrop for momentum trading without strong headwinds.,Clean slate with no recent losses from disciplined signal avoidance creates favorable risk environment for aggressive entry.,Strong directional trend confirmation with DI+ > DI- plus healthy RSI positioning justifies aggressive day trade entry targeting 1.5% upside move.,,RSI: 55.674 | MACD: -0.04 | ATR: 0.0364 | ADX: 46.7409 | DI_PLUS: 35.1857 | DI_MINUS: 32.2171,0,
2026-04-10 01:12:50,Buy,72,83.05,82.21,84.31,pending,,,"Strong uptrend confirmed with DI+ (38.5) > DI- (27.1) and high ADX (41.2) showing powerful trend strength, RSI neutral at 54 allows room to move higher",Modest positive sentiment (+0.15) provides supportive backdrop without being overbought,Conditions clearly improving from six prior rejections to recent 70% confidence Buy signal,Clear directional bias with strong trend momentum and neutral RSI creates solid day trade setup targeting 1.5% move,,RSI: 54.0913 | MACD: -0.0083 | ATR: 0.0399 | ADX: 41.1969 | DI_PLUS: 38.5025 | DI_MINUS: 27.0941,0,
2026-04-10 01:09:50,Buy,70,83.04,82.2,84.3,W,84.3,2026-04-10 05:40:46,"Strong trend strength with ADX at 46.74 and DI+ (35.19) above DI- (32.22) confirming bullish momentum, RSI at 55.67 shows room for upward movement without being overbought.",Neutral-to-slightly positive sentiment at +0.15 provides adequate backdrop for momentum trading without strong headwinds.,Clean slate with no recent losses from disciplined signal avoidance creates favorable risk environment for aggressive entry.,Strong directional trend confirmation with DI+ > DI- plus healthy RSI positioning justifies aggressive day trade entry targeting 1.5% upside move.,,RSI: 55.674 | MACD: -0.04 | ATR: 0.0364 | ADX: 46.7409 | DI_PLUS: 35.1857 | DI_MINUS: 32.2171,0,
2026-04-10 01:12:50,Buy,72,83.05,82.21,84.31,W,84.35,2026-04-10 05:41:02,"Strong uptrend confirmed with DI+ (38.5) > DI- (27.1) and high ADX (41.2) showing powerful trend strength, RSI neutral at 54 allows room to move higher",Modest positive sentiment (+0.15) provides supportive backdrop without being overbought,Conditions clearly improving from six prior rejections to recent 70% confidence Buy signal,Clear directional bias with strong trend momentum and neutral RSI creates solid day trade setup targeting 1.5% move,,RSI: 54.0913 | MACD: -0.0083 | ATR: 0.0399 | ADX: 41.1969 | DI_PLUS: 38.5025 | DI_MINUS: 27.0941,0,
