timestamp,signal,direction,confidence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,outcome,close_price,close_time,ta_summary,sentiment_summary,history_summary,decision_rationale,overrides,indicators,tp_adjustments,tp_adjustment_log
2026-05-05 17:38:06,Do Not Enter,,45,,,,15.0,18.0,pending,,,RSI at 63.7 shows momentum but ADX at 18.8 indicates weak trend strength with DI+ dominating at 60.4 vs DI- at 28.4,Negative sentiment at -0.65 creates headwinds against any bullish momentum despite technical setup,First signal with no trade history to reference for pattern confirmation,"While DI+ > DI- supports bullish bias, the combination of weak trend strength (low ADX) and strongly negative sentiment prevents confident entry",,RSI: 63.7064 | MACD: 0.0012 | BB_UPPER: 9.7886 | ADX: 18.8347 | DI_PLUS: 60.4453 | DI_MINUS: 28.4245 | PREV_CLOSE: 9.7787,0,
2026-05-05 17:41:13,Do Not Enter,,45,,,,15.0,18.0,pending,,,DI+ (59.68) strongly above DI- (31.73) confirms uptrend but RSI at 61.85 shows overbought conditions with weak MACD momentum at 0.0032,Negative sentiment at -0.65 creates headwind against the technical uptrend signal,Insufficient trade history with only one pending low-confidence signal provides no pattern guidance,"Despite clear uptrend from DI indicators, the combination of overbought RSI, weak MACD, and strong negative sentiment creates too much uncertainty for a scalping entry",,RSI: 61.8542 | MACD: 0.0032 | BB_UPPER: 9.7909 | ADX: 21.894 | DI_PLUS: 59.6815 | DI_MINUS: 31.729 | PREV_CLOSE: 9.7868,0,
2026-05-05 17:42:05,Buy,LONG,67,9.7907,9.65,9.99,15.0,18.0,pending,,,"Strong bullish momentum with DI+ at 62.34 dominating DI- at 29.64, RSI at healthy 64.89, and positive MACD confirming upward pressure.",Mildly negative sentiment at -0.35 creates some headwind but not enough to override strong technical setup.,"No trade history available yet, but current technical alignment supports first position entry.","Clear directional bias with DI+ double DI-, moderate RSI allows for further upside, and tight risk management provides favorable 1.2:1 reward ratio.",,RSI: 64.8875 | MACD: 0.0035 | BB_UPPER: 9.7918 | ADX: 22.2492 | DI_PLUS: 62.3378 | DI_MINUS: 29.6387 | PREV_CLOSE: 9.7868,0,
2026-05-05 17:44:13,Do Not Enter,,58,,,,15.0,18.0,pending,,,"RSI at 64.9 shows momentum but approaching overbought territory, while DI+ significantly above DI- confirms uptrend strength",Strong negative sentiment at -0.65 creates headwinds against any bullish momentum,Insufficient trade history available with only three recent signals and no completed trades to evaluate,"Despite clear uptrend confirmation from directional indicators, the combination of RSI near overbought levels and strongly negative sentiment keeps confidence below entry threshold",,RSI: 64.8875 | MACD: 0.0046 | BB_UPPER: 9.7978 | ADX: 24.9009 | DI_PLUS: 62.3377 | DI_MINUS: 29.6387 | PREV_CLOSE: 9.7907,0,
2026-05-05 17:45:13,Do Not Enter,,45,,,,15.0,18.0,pending,,,"RSI at neutral 57.3 with DI+ dominating DI- (56.2 vs 36.6) shows bullish trend, but weak ADX 23.7 and minimal MACD 0.004 indicate low momentum strength.",Strong negative sentiment at -0.65 creates headwind against any bullish technical setup.,"No historical trade data available to assess pattern reliability, with current pending signals showing mixed confidence.","While directional indicators favor bullish bias, the combination of weak momentum, strong negative sentiment, and insufficient volatility creates too much uncertainty for entry.",,RSI: 57.2605 | MACD: 0.004 | BB_UPPER: 9.7976 | ADX: 23.6659 | DI_PLUS: 56.1566 | DI_MINUS: 36.6154 | PREV_CLOSE: 9.7855,0,
2026-05-05 17:47:13,Do Not Enter,,45,,,,15.0,18.0,pending,,,"RSI at 59.3 is neutral, MACD barely positive at 0.0039, DI+ dominates at 60.99 vs DI- 32.57 showing uptrend, but ADX at 24.59 indicates weak trend strength",Negative sentiment at -0.65 creates significant headwind against any bullish technical setup,All previous signals remain pending with no resolution data to guide current decision making,"While DI+ > DI- supports upward bias, the combination of weak MACD momentum, moderate trend strength, and strongly negative sentiment creates too much uncertainty for a scalping entry",,RSI: 59.2866 | MACD: 0.0039 | BB_UPPER: 9.7988 | ADX: 24.5909 | DI_PLUS: 60.9987 | DI_MINUS: 32.5715 | PREV_CLOSE: 9.7874,0,
2026-05-05 17:48:12,Buy,LONG,65,9.79,9.64,10.01,15.0,18.0,pending,,,DI+ at 60.28 strongly above DI- at 33.37 confirms uptrend with RSI at 58.43 in favorable range and positive MACD at 0.0037,Negative sentiment at -0.65 creates headwind but technical momentum may overcome short-term bearish news,Previous Buy signal showed 67% confidence suggesting system identifies valid LINK setups despite pending trades,Strong directional indicators and neutral RSI support scalping opportunity despite negative sentiment headwind,,RSI: 58.4298 | MACD: 0.0037 | BB_UPPER: 9.7979 | ADX: 24.7774 | DI_PLUS: 60.2766 | DI_MINUS: 33.3697 | PREV_CLOSE: 9.7869,0,
2026-05-05 17:42:05,Buy,LONG,67,9.7907,9.65,9.99,15.0,18.0,W,9.99,2026-05-06 01:50:11,"Strong bullish momentum with DI+ at 62.34 dominating DI- at 29.64, RSI at healthy 64.89, and positive MACD confirming upward pressure.",Mildly negative sentiment at -0.35 creates some headwind but not enough to override strong technical setup.,"No trade history available yet, but current technical alignment supports first position entry.","Clear directional bias with DI+ double DI-, moderate RSI allows for further upside, and tight risk management provides favorable 1.2:1 reward ratio.",,RSI: 64.8875 | MACD: 0.0035 | BB_UPPER: 9.7918 | ADX: 22.2492 | DI_PLUS: 62.3378 | DI_MINUS: 29.6387 | PREV_CLOSE: 9.7868,0,
2026-05-05 17:42:05,Buy,LONG,67,9.7907,9.65,9.99,15.0,18.0,W,9.99,2026-05-06 01:50:11,"Strong bullish momentum with DI+ at 62.34 dominating DI- at 29.64, RSI at healthy 64.89, and positive MACD confirming upward pressure.",Mildly negative sentiment at -0.35 creates some headwind but not enough to override strong technical setup.,"No trade history available yet, but current technical alignment supports first position entry.","Clear directional bias with DI+ double DI-, moderate RSI allows for further upside, and tight risk management provides favorable 1.2:1 reward ratio.",,RSI: 64.8875 | MACD: 0.0035 | BB_UPPER: 9.7918 | ADX: 22.2492 | DI_PLUS: 62.3378 | DI_MINUS: 29.6387 | PREV_CLOSE: 9.7868,0,
2026-05-05 17:42:05,Buy,LONG,67,9.7907,9.65,9.99,15.0,18.0,W,9.99,2026-05-06 01:50:11,"Strong bullish momentum with DI+ at 62.34 dominating DI- at 29.64, RSI at healthy 64.89, and positive MACD confirming upward pressure.",Mildly negative sentiment at -0.35 creates some headwind but not enough to override strong technical setup.,"No trade history available yet, but current technical alignment supports first position entry.","Clear directional bias with DI+ double DI-, moderate RSI allows for further upside, and tight risk management provides favorable 1.2:1 reward ratio.",,RSI: 64.8875 | MACD: 0.0035 | BB_UPPER: 9.7918 | ADX: 22.2492 | DI_PLUS: 62.3378 | DI_MINUS: 29.6387 | PREV_CLOSE: 9.7868,0,
