timestamp,signal,direction,confidence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,outcome,close_price,close_time,ta_summary,sentiment_summary,history_summary,decision_rationale,overrides,indicators,tp_adjustments,tp_adjustment_log
2026-05-05 17:38:06,Do Not Enter,,0,,,,15.0,18.0,pending,,,"DI- (25.77) > DI+ (22.66) indicates downtrend, but RSI at 44.14 is neutral and MACD at -0.0007 shows weak momentum with low ADX at 18.56",Negative news sentiment at -0.35 suggests bearish bias but not strongly negative,No trade history available for pattern analysis as this is the first signal,Mixed signals with weak trend strength (ADX < 25) and conflicting directional indicators make this unsuitable for scalping entry,,RSI: 44.1436 | MACD: -0.0007 | ADX: 18.5633 | DI_PLUS: 22.6559 | DI_MINUS: 25.7663 | OBV: -350069.7437 | PREV_CLOSE: 1.4104,0,
2026-05-05 17:41:13,Do Not Enter,,0,,,,15.0,18.0,pending,,,"RSI at 38.3 shows oversold conditions while DI- (32.3) dominates DI+ (18.6) confirming downtrend, but RSI near oversold territory limits sell opportunities",Strong negative sentiment at -0.65 suggests bearish news flow but could indicate oversold bounce potential,No trade history yet with initial cautious approach showing proper risk management,"Cannot buy due to DI- > DI+ rule, cannot sell due to RSI approaching oversold threshold at 38.3, waiting for clearer directional setup",,RSI: 38.2657 | MACD: -0.0007 | ADX: 20.4057 | DI_PLUS: 18.5844 | DI_MINUS: 32.2655 | OBV: -364231.3211 | PREV_CLOSE: 1.4093,0,
2026-05-05 17:42:05,Do Not Enter,,0,,,,15.0,18.0,pending,,,"RSI at 39.28 shows oversold conditions with DI- (30.57) dominating DI+ (19.58) confirming bearish trend, but RSI too low for safe short entry",Strong negative sentiment at -0.65 supports bearish bias but adds risk of potential reversal bounce,Insufficient trade history with only two previous 'Do Not Enter' signals recorded,"Cannot enter Buy due to DI- > DI+ rule, and cannot enter Sell due to RSI below 40 threshold for short entries",,RSI: 39.2757 | MACD: -0.0007 | ADX: 20.0504 | DI_PLUS: 19.5759 | DI_MINUS: 30.5742 | OBV: -357828.1775 | PREV_CLOSE: 1.4093,0,
2026-05-05 17:44:13,Sell,SHORT,64,1.4095,1.432,1.3757,15.0,18.0,pending,,,"DI- dominates at 28.64 vs DI+ 18.50 confirming downtrend, RSI at 40.22 provides room for further decline, MACD negative at -0.0006",Strong negative sentiment at -0.65 supports bearish outlook with recent negative headlines,"No trade history yet but all previous signals were filtered out, suggesting selective entry criteria are working","Clear downtrend confirmation with DI- > DI+, RSI not oversold, and negative sentiment align for short entry targeting $0.0338 move down",,RSI: 40.2162 | MACD: -0.0006 | ADX: 20.3773 | DI_PLUS: 18.5019 | DI_MINUS: 28.6373 | OBV: -314568.0567 | PREV_CLOSE: 1.4095,0,
2026-05-05 17:45:13,Sell,SHORT,65,1.4095,1.4325,1.375,15.0,18.0,pending,,,"DI- dominates at 28.35 vs DI+ 18.32 confirming downtrend, RSI at 40.33 shows room to fall, MACD negative at -0.0006",Strong negative sentiment at -0.65 supports bearish outlook with selling pressure likely,No trade history yet to reference for pattern analysis,"Clear bearish setup with directional indicators aligned, adequate volatility for scalping move, and negative sentiment reinforcing downside bias",,RSI: 40.3337 | MACD: -0.0006 | ADX: 20.4575 | DI_PLUS: 18.3154 | DI_MINUS: 28.3487 | OBV: -312615.4976 | PREV_CLOSE: 1.4095,0,
2026-05-05 17:44:13,Sell,SHORT,64,1.4095,1.432,1.3757,15.0,18.0,L,1.43363,2026-05-06 00:22:51,"DI- dominates at 28.64 vs DI+ 18.50 confirming downtrend, RSI at 40.22 provides room for further decline, MACD negative at -0.0006",Strong negative sentiment at -0.65 supports bearish outlook with recent negative headlines,"No trade history yet but all previous signals were filtered out, suggesting selective entry criteria are working","Clear downtrend confirmation with DI- > DI+, RSI not oversold, and negative sentiment align for short entry targeting $0.0338 move down",,RSI: 40.2162 | MACD: -0.0006 | ADX: 20.3773 | DI_PLUS: 18.5019 | DI_MINUS: 28.6373 | OBV: -314568.0567 | PREV_CLOSE: 1.4095,0,
2026-05-05 17:45:13,Sell,SHORT,65,1.4095,1.4325,1.375,15.0,18.0,L,1.43363,2026-05-06 00:22:51,"DI- dominates at 28.35 vs DI+ 18.32 confirming downtrend, RSI at 40.33 shows room to fall, MACD negative at -0.0006",Strong negative sentiment at -0.65 supports bearish outlook with selling pressure likely,No trade history yet to reference for pattern analysis,"Clear bearish setup with directional indicators aligned, adequate volatility for scalping move, and negative sentiment reinforcing downside bias",,RSI: 40.3337 | MACD: -0.0006 | ADX: 20.4575 | DI_PLUS: 18.3154 | DI_MINUS: 28.3487 | OBV: -312615.4976 | PREV_CLOSE: 1.4095,0,
2026-05-06 00:23:14,Do Not Enter,,0,,,,14.55,17.46,pending,,,RSI at 75.88 indicates severely overbought conditions despite DI+ dominance at 56.77 vs DI- at 17.88,Neutral sentiment at 0.00 provides no catalyst for momentum continuation,"Recent Sell signals with similar confidence levels resulted in losses, suggesting challenging market conditions",Overbought RSI above 75 creates high reversal risk that outweighs the strong directional momentum from DI spread,,RSI: 75.8811 | MACD: 0.0013 | BB_UPPER: 1.4317 | DI_PLUS: 56.7723 | DI_MINUS: 17.879 | PREV_CLOSE: 1.4334,0,
2026-05-06 00:24:14,Do Not Enter,,0,,,,14.55,17.46,pending,,,"RSI at 70.65 indicates overbought conditions with DI+ dominating at 53.35 vs DI- at 16.80, but RSI is too extended for safe entry",Neutral sentiment at 0.00 provides no directional bias or catalyst for momentum,"Recent Sell signals at 64-65% confidence resulted in losses, indicating current market conditions favor caution","While trend is clearly bullish, RSI above 70 suggests immediate pullback risk and recent losses on moderate-confidence trades warrant waiting for better setup",,RSI: 70.6504 | MACD: 0.0015 | ADX: 21.5019 | DI_PLUS: 53.3544 | DI_MINUS: 16.8027 | OBV: -341844.2668 | PREV_CLOSE: 1.4324,0,
2026-05-06 00:26:13,Do Not Enter,,45,,,,14.55,17.46,pending,,,"RSI at 72.96 shows overbought conditions while DI+ dominance (45.46 vs 16.28) confirms uptrend, but MACD at only 0.0019 shows weak momentum acceleration.",Neutral news sentiment at 0.00 provides no directional catalyst for momentum continuation.,"Recent sell signals at similar confidence levels resulted in losses, indicating challenging market conditions for scalping.","Despite clear uptrend, extremely overbought RSI combined with weak MACD momentum and poor recent performance history makes both long and short entries too risky.",,RSI: 72.9566 | MACD: 0.0019 | BB_UPPER: 1.434 | DI_PLUS: 45.4557 | DI_MINUS: 16.2778 | PREV_CLOSE: 1.4333,0,
